Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Hugo Burcio,0,,0,0,0,0.0,1,0,0,0,0.0,0,0,5,100.0,0
Hugo Duro,7,5.16,4,3,24,29.17,9,3,16,0,6.0,1,0,202,71.89,12
Hugo Lopez,0,,0,0,0,0.0,1,1,0,0,0.0,0,0,5,100.0,0
Hugo Rincón,0,0.76,2,7,4,0.0,24,5,29,0,6.0,1,1,397,82.54,8
Hugo Solozábal,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,5,100.0,0
Hugo Sotelo,0,0.09,0,0,2,0.0,23,12,13,0,7.0,4,1,624,91.9,20
Hugo Álvarez,2,0.85,1,5,5,40.0,8,4,6,0,0.0,2,1,253,84.9,11
Héctor Bellerín,0,0.15,0,5,3,0.0,14,7,53,0,1.0,4,2,502,86.7,18
Iago Aspas,2,2.77,1,9,17,11.76,10,9,1,0,0.0,4,3,360,78.77,24
Igor Zubeldia,0,0.24,0,1,5,0.0,27,17,129,0,12.0,1,1,767,87.16,5
Iker Benito,1,0.6,0,1,2,50.0,1,2,5,0,1.0,0,0,61,81.33,2
Iker Losada,2,1.52,2,3,9,22.22,3,7,3,0,0.0,1,0,60,64.52,5
Iker Muñoz,0,0.13,0,3,4,0.0,7,6,12,0,1.0,0,0,187,85.0,1
Ilaix Moriba,0,1.08,2,8,15,0.0,54,14,19,2,4.0,3,1,531,86.2,13
Ilias Akhomach,0,0.9,3,2,10,0.0,15,1,3,0,2.0,1,0,88,88.0,5
Ilyas Chaira,2,3.65,3,19,37,5.41,25,5,9,0,4.0,2,1,314,84.64,8
Ionuț Radu,0,,0,1,0,0.0,0,0,23,1,0.0,0,0,397,69.53,0
Isaac Romero,3,4.35,7,7,26,11.54,11,1,11,0,0.0,2,0,148,72.2,7
Isco,0,0.08,0,0,2,0.0,0,0,0,0,0.0,1,1,14,73.68,2
Isi Palazón,2,4.02,4,19,34,5.88,16,1,13,0,5.0,5,3,513,82.34,25
Ismael Bekhoucha,0,0.02,0,2,1,0.0,6,2,4,0,0.0,1,1,12,63.16,1
Ivan Corralejo,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,7,100.0,0
Iván Balliu,0,0.33,1,3,2,0.0,5,3,4,0,1.0,0,0,122,84.72,1
Iván Martín,0,0.6,2,20,7,0.0,48,12,20,0,2.0,1,1,851,88.46,14
Iván Romero,4,5.47,9,24,36,11.11,20,7,8,0,2.0,2,1,253,73.76,13
